t,greedy,new,new greedy ver.,tabu
458,0.1411979242,0.1435721803,0.1698832378,0.1580076027
459,0.1411396792,0.1433224162,0.1697547721,0.1578815866
460,0.1410818878,0.1435052257,0.1699136304,0.1580759181
461,0.1413096966,0.1435808898,0.1695314995,0.1580141349
462,0.141265786,0.1437245065,0.1697219299,0.1582084664
463,0.1414347148,0.1438037088,0.170013155,0.1580059697
464,0.1413651292,0.1437053636,0.1697396211,0.157894288
465,0.1415534729,0.144039955,0.1691377558,0.1580121389
466,0.1412878321,0.1441223327,0.1693857962,0.1584320112
467,0.1417683082,0.1439819821,0.1696574249,0.1584585934
468,0.1418714618,0.1441431086,0.1700948069,0.1585258201
